bytes,num_keys,trial,tput_mops,tput_ns_per_op,chase_ns_per_op
32768,240,1,35.81,27.92,53.65
32768,240,2,36.29,27.56,53.33
32768,240,3,36.55,27.36,53.73
65536,481,1,33.63,29.73,57.51
65536,481,2,33.64,29.72,57.19
65536,481,3,33.71,29.66,57.29
131072,963,1,32.12,31.14,57.61
131072,963,2,32.22,31.04,57.43
131072,963,3,32.07,31.18,57.51
262144,1927,1,32.58,30.69,66.89
262144,1927,2,32.27,30.99,68.51
262144,1927,3,32.65,30.63,68.20
524288,3855,1,31.46,31.79,74.80
524288,3855,2,25.77,38.81,75.51
524288,3855,3,31.83,31.42,75.96
2097152,15420,1,30.03,33.30,80.26
2097152,15420,2,30.15,33.16,78.08
2097152,15420,3,30.21,33.10,88.18
8388608,61680,1,25.03,39.95,86.52
8388608,61680,2,28.84,34.68,87.48
8388608,61680,3,25.88,38.64,92.56
16777216,123361,1,20.72,48.25,170.72
16777216,123361,2,25.82,38.73,143.10
16777216,123361,3,26.87,37.22,150.52
33554432,246723,1,14.48,69.08,211.92
33554432,246723,2,15.62,64.00,231.76
33554432,246723,3,15.49,64.54,223.73
134217728,986895,1,8.69,115.13,406.35
134217728,986895,2,11.06,90.41,402.77
134217728,986895,3,9.83,101.70,394.30
536870912,3947580,1,7.37,135.69,571.69
536870912,3947580,2,7.06,141.58,572.20
536870912,3947580,3,7.24,138.13,561.78
